"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/06/2023","AQS","420010001","2","0.9","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/07/2023","AQS","420010001","2","0.6","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/08/2023","AQS","420010001","2","1.6","ppb","1","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/09/2023","AQS","420010001","2","0.9","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/10/2023","AQS","420010001","2","0.8","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/11/2023","AQS","420010001","2","0.6","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/12/2023","AQS","420010001","2","1.5","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/13/2023","AQS","420010001","2","1.4","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/14/2023","AQS","420010001","2","2.5","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/15/2023","AQS","420010001","2","1.8","ppb","1","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
